date,AAPL,AMAT,AMD,CSCO,IBM,INTC,MSFT,MU,NVDA,ORCL,WDC
1984-12-31,51940000.0,2291200.0,,,,27748800.0,,807000.0,,,130600.0
1985-01-02,43825600.0,7052800.0,435800.0,,3490000.0,27259200.0,,1174000.0,,,12800.0
1985-01-03,41652800.0,512000.0,821200.0,,5552400.0,31075200.0,,632000.0,,,99600.0
1985-01-04,34316800.0,422400.0,710000.0,,4028000.0,11688000.0,,632000.0,,,256600.0
1985-01-07,42728000.0,4403200.0,579800.0,,4671200.0,12465600.0,,2348000.0,,,186600.0
1985-01-08,35280000.0,1612800.0,2017200.0,,4492400.0,33734400.0,,1680000.0,,,418800.0
1985-01-09,41680800.0,6438400.0,1522800.0,,5242800.0,16881600.0,,4255000.0,,,730000.0
1985-01-10,69266400.0,780800.0,875400.0,,6558800.0,31646400.0,,1155000.0,,,210600.0
1985-01-11,51262400.0,3392000.0,1934400.0,,4458400.0,33379200.0,,1275000.0,,,532600.0
1985-01-14,67608800.0,11072000.0,1833400.0,,7767600.0,42153600.0,,1505000.0,,,180000.0
1985-01-15,66242400.0,5504000.0,1941000.0,,6505600.0,61353600.0,,2465000.0,,,369200.0
1985-01-16,47471200.0,11212800.0,1452200.0,,5441600.0,44774400.0,,882000.0,,,392000.0
1985-01-17,136880800.0,1881600.0,805200.0,,4278400.0,26764800.0,,594000.0,,,234000.0
1985-01-18,88166400.0,3328000.0,420200.0,,4653200.0,29054400.0,,819000.0,,,367400.0
1985-01-21,81356800.0,2393600.0,920200.0,,8555200.0,33657600.0,,1093000.0,,,295000.0
1985-01-22,106209600.0,5222400.0,1765600.0,,10156000.0,31905600.0,,1703000.0,,,379800.0
1985-01-23,107626400.0,10752000.0,1217000.0,,9080800.0,20083200.0,,698000.0,,,631000.0
1985-01-24,99265600.0,6604800.0,1397600.0,,7300800.0,31065600.0,,1049000.0,,,461600.0
1985-01-25,79615200.0,2649600.0,1068600.0,,4849200.0,24835200.0,,267000.0,,,227000.0
1985-01-28,103045600.0,7974400.0,544400.0,,7746000.0,26284800.0,,274000.0,,,213800.0
1985-01-29,55932800.0,8588800.0,955400.0,,4514800.0,27235200.0,,405000.0,,,171600.0
1985-01-30,123110400.0,8448000.0,1412000.0,,6254400.0,31732800.0,,6518000.0,,,432400.0
1985-01-31,69059200.0,25126400.0,1009400.0,,5052400.0,20702400.0,,751000.0,,,183000.0
1985-02-01,34434400.0,8012800.0,731200.0,,3321600.0,17068800.0,,641000.0,,,225400.0
1985-02-04,54504800.0,1971200.0,618200.0,,5383600.0,21345600.0,,1337000.0,,,81800.0
1985-02-05,47510400.0,13094400.0,871400.0,,5063600.0,25852800.0,,1456000.0,,,332800.0
1985-02-06,48608000.0,14220800.0,613800.0,,5187600.0,35611200.0,,1280000.0,,,191200.0
1985-02-07,61370400.0,45184000.0,426200.0,,4237200.0,25804800.0,,1022000.0,,,776200.0
1985-02-08,33006400.0,17024000.0,899200.0,,3395600.0,18336000.0,,1617000.0,,,569000.0
1985-02-11,86738400.0,6694400.0,427000.0,,10054400.0,20260800.0,,1810000.0,,,259800.0
1985-02-12,56627200.0,13171200.0,563200.0,,8886800.0,35875200.0,,1732000.0,,,524200.0
1985-02-13,131756800.0,5939200.0,1382800.0,,6310400.0,51134400.0,,2045000.0,,,334400.0
1985-02-14,106708000.0,11968000.0,850200.0,,5373200.0,47760000.0,,6033000.0,,,199400.0
1985-02-15,43405600.0,6028800.0,1214200.0,,4261600.0,35371200.0,,3566000.0,,,79400.0
1985-02-19,37458400.0,3481600.0,944400.0,,2928400.0,26160000.0,,2845000.0,,,149400.0
1985-02-20,54992000.0,6924800.0,763400.0,,5823200.0,21312000.0,,3375000.0,,,345200.0
1985-02-21,77056000.0,13721600.0,501000.0,,3353600.0,31041600.0,,1003000.0,,,193200.0
1985-02-22,56632800.0,16678400.0,1111600.0,,3678000.0,12340800.0,,253000.0,,,166600.0
1985-02-25,24634400.0,4198400.0,938400.0,,3060800.0,27364800.0,,3868000.0,,,223800.0
1985-02-26,47241600.0,8627200.0,809200.0,,4599200.0,18552000.0,,6271000.0,,,398600.0
1985-02-27,100895200.0,3532800.0,990400.0,,3470400.0,18384000.0,,2349000.0,,,51000.0
1985-02-28,79766400.0,2918400.0,287000.0,,3529600.0,10204800.0,,3072000.0,,,50600.0
1985-03-01,61857600.0,6617600.0,769800.0,,5531200.0,30768000.0,,3756000.0,,,250400.0
1985-03-04,38276000.0,5222400.0,702200.0,,3560400.0,15081600.0,,1641000.0,,,68600.0
1985-03-05,32692800.0,5312000.0,1173800.0,,4054000.0,25267200.0,,1116000.0,,,94200.0
1985-03-06,39860800.0,8537600.0,1006000.0,,4126000.0,38529600.0,,1365000.0,,,101200.0
1985-03-07,192035200.0,11788800.0,710400.0,,6740000.0,35078400.0,,341000.0,,,448400.0
1985-03-08,118389600.0,13568000.0,668600.0,,6892800.0,12696000.0,,481000.0,,,130000.0
1985-03-11,71500800.0,9984000.0,495000.0,,4205600.0,23764800.0,,489000.0,,,311800.0
1985-03-12,54857600.0,4876800.0,442800.0,,3518400.0,23644800.0,,545000.0,,,171800.0
1985-03-13,62781600.0,18393600.0,1779400.0,,4779200.0,32688000.0,,585000.0,,,497000.0
1985-03-14,60401600.0,7500800.0,1375400.0,,5087200.0,41649600.0,,571000.0,,,186600.0
1985-03-15,45354400.0,5324800.0,734200.0,,4789600.0,25939200.0,,1407000.0,,,28600.0
1985-03-18,31192000.0,4761600.0,814800.0,,4826800.0,21840000.0,,2602000.0,,,96800.0
1985-03-19,42862400.0,13670400.0,715400.0,,4148800.0,27273600.0,,3283000.0,,,462800.0
1985-03-20,101242400.0,4889600.0,1451800.0,,4475200.0,16622400.0,,1638000.0,,,56600.0
1985-03-21,40616800.0,2304000.0,845800.0,,6208800.0,16507200.0,,1046000.0,,,87600.0
1985-03-22,20092800.0,5568000.0,689000.0,,4791200.0,24614400.0,,738000.0,,,26800.0
1985-03-25,27490400.0,9292800.0,359400.0,,8231600.0,19992000.0,,1606000.0,,,63200.0
1985-03-26,30357600.0,6604800.0,484000.0,,5617600.0,13406400.0,,3306000.0,,,145000.0
1985-03-27,27837600.0,2700800.0,1022800.0,,4393600.0,24763200.0,,2289000.0,,,123200.0
1985-03-28,32401600.0,3328000.0,1058200.0,,3973600.0,25795200.0,,348000.0,,,275000.0
1985-03-29,21795200.0,1612800.0,454600.0,,2780000.0,24777600.0,,1205000.0,,,147000.0
1985-04-01,28515200.0,512000.0,322400.0,,3363200.0,34238400.0,,1886000.0,,,36200.0
1985-04-02,56856800.0,2560000.0,596200.0,,3796000.0,16867200.0,,1283000.0,,,223200.0
1985-04-03,60664800.0,1804800.0,364800.0,,3316000.0,10267200.0,,6302000.0,,,196400.0
