date,manager,profit,flow,equity_sod,roe
1/20/2017,Anthony,1375.53,0,25000000,5.50E-05
1/23/2017,Anthony,8494.47,0,25001375.53,0.000339
1/24/2017,Anthony,-11536.59,0,25009870,-0.000461
1/25/2017,Anthony,78105,0,24998333.41,0.003124
1/26/2017,Anthony,-32226.47,0,25076438.41,-0.001285
1/27/2017,Anthony,72165.21,0,25044211.94,0.002881
1/30/2017,Anthony,-103798.45,0,25116377.15,-0.004132
1/31/2017,Anthony,-219288.6,0,25012578.7,-0.008767
2/1/2017,Anthony,198901.01,0,24793290.1,0.008022
2/2/2017,Anthony,-196062.36,0,24992191.11,-0.007844
2/3/2017,Anthony,148809.1,0,24796128.75,0.006001
2/6/2017,Anthony,-262696.41,0,24944937.85,-0.010531
2/7/2017,Anthony,-284005.57,0,24682241.44,-0.011506
2/8/2017,Anthony,143457,0,24398235.87,0.005879
2/9/2017,Anthony,402892.59,0,24541692.87,0.016416
2/10/2017,Anthony,91666.2,0,24944585.46,0.003674
2/13/2017,Anthony,21120.3,0,25036251.66,0.000843
2/14/2017,Anthony,169739.1,0,25057371.96,0.006774
2/15/2017,Anthony,469018.8,0,25227111.06,0.018591
2/16/2017,Anthony,-74460.6,0,25696129.86,-0.002897
2/17/2017,Anthony,-495650.22,0,25621669.26,-0.019344
2/21/2017,Anthony,-22082.7,0,25126019.04,-0.000878
2/22/2017,Anthony,-84487,0,25103936.34,-0.003365
2/23/2017,Anthony,79267.88,0,25019449.34,0.003168
2/24/2017,Anthony,-215600.79,0,25098717.22,-0.00859
2/27/2017,Anthony,77900.71,0,24883116.43,0.00313
2/28/2017,Anthony,2055033.8,0,24961017.14,0.082329
3/1/2017,Anthony,-225724.3,0,27016050.94,-0.008355
3/2/2017,Anthony,177693.7,0,26790326.64,0.006632
3/3/2017,Anthony,626484.7,0,26968020.34,0.02323
3/6/2017,Anthony,-1843932.7,0,27594505.04,-0.066822
3/7/2017,Anthony,-160430.18,0,25750572.34,-0.00623
3/8/2017,Anthony,19934.06,0,25590142.16,0.000778
3/9/2017,Anthony,-25828.3,0,25610076.22,-0.001008
3/10/2017,Anthony,635441.6,0,25584247.92,0.024837
3/13/2017,Anthony,-430366.5,0,26219689.52,-0.016413
3/14/2017,Anthony,-270901.4,0,25789323.02,-0.010504
3/15/2017,Anthony,612756.3,0,25518421.62,0.024012
3/16/2017,Anthony,823182.8,0,26131177.92,0.031501
3/17/2017,Anthony,-894406,0,26954360.72,-0.033182
3/20/2017,Anthony,-354902.5,0,26059954.72,-0.013618
3/21/2017,Anthony,-1664955.6,0,25705052.22,-0.064771
3/22/2017,Anthony,-770821.7,0,24040096.62,-0.032064
3/23/2017,Anthony,-527530.9,0,23269274.92,-0.02267
3/24/2017,Anthony,-328407.7,0,22741744.02,-0.01444
3/27/2017,Anthony,-210209.4,0,22413336.32,-0.009378
3/28/2017,Anthony,157380,0,22203126.92,0.007088
3/29/2017,Anthony,424004.35,0,22360506.92,0.018962
3/30/2017,Anthony,16290.61,0,22784511.27,0.000714
3/31/2017,Anthony,4938.72,0,22800801.88,0.000216
4/3/2017,Anthony,-1173218.87,0,22805740.6,-0.051444
4/4/2017,Anthony,-294872.3,0,21632521.73,-0.01363
4/5/2017,Anthony,-253509.8,0,21337649.43,-0.01188
4/6/2017,Anthony,241507.12,0,21084139.63,0.011454
4/7/2017,Anthony,-233397.94,0,21325646.75,-0.010944
4/10/2017,Anthony,496931.37,0,21092248.81,0.023559
4/11/2017,Anthony,61218.48,0,21589180.18,0.002835
4/12/2017,Anthony,-530525.4,0,21650398.66,-0.024504
4/13/2017,Anthony,-201316,0,21119873.26,-0.009532
4/17/2017,Anthony,309232,0,20918557.26,0.014782
