Ticker,Date,Close Price,Market Cap,Volume
MXIM,12/31/1990,0.4318, 138.1 ," 16,027,200 "
MXIM,01/31/1991,0.5172, 165.4 ," 26,446,400 "
MXIM,02/28/1991,0.5552, 179.0 ," 58,526,400 "
MXIM,03/28/1991,0.6453, 208.1 ," 41,073,600 "
MXIM,04/30/1991,0.5694, 183.6 ," 26,492,800 "
MXIM,05/31/1991,0.6548, 214.8 ," 23,057,600 "
MXIM,06/28/1991,0.6121, 200.8 ," 14,214,400 "
MXIM,07/31/1991,0.6785, 222.6 ," 14,352,000 "
MXIM,08/30/1991,0.6833, 227.0 ," 23,668,800 "
MXIM,09/30/1991,0.7212, 239.7 ," 18,017,600 "
MXIM,10/31/1991,0.8209, 276.2 ," 34,048,000 "
MXIM,11/29/1991,0.6880, 231.5 ," 30,614,400 "
MXIM,12/31/1991,0.7924, 266.7 ," 23,481,600 "
MXIM,01/31/1992,1.0439, 351.3 ," 49,438,400 "
MXIM,02/28/1992,1.0866, 373.5 ," 16,766,400 "
MXIM,03/31/1992,0.8351, 287.1 ," 38,395,200 "
MXIM,04/30/1992,1.0249, 352.3 ," 32,465,600 "
MXIM,05/29/1992,0.9015, 315.8 ," 25,286,400 "
MXIM,06/30/1992,0.7971, 279.2 ," 28,457,600 "
MXIM,07/31/1992,0.8731, 305.8 ," 28,329,600 "
MXIM,08/31/1992,0.8920, 313.1 ," 16,897,600 "
MXIM,09/30/1992,0.9347, 328.0 ," 31,372,800 "
MXIM,10/30/1992,0.9537, 338.6 ," 26,588,800 "
MXIM,11/30/1992,0.9680, 343.7 ," 45,846,400 "
MXIM,12/31/1992,1.1198, 397.6 ," 21,473,600 "
MXIM,01/29/1993,1.0249, 363.9 ," 24,244,800 "
MXIM,02/26/1993,0.9964, 359.9 ," 19,728,000 "
MXIM,03/31/1993,1.0344, 373.7 ," 17,051,200 "
MXIM,04/30/1993,1.1008, 397.7 ," 20,928,000 "
MXIM,05/28/1993,1.1957, 434.9 ," 25,390,400 "
MXIM,06/30/1993,1.3001, 472.8 ," 19,657,600 "
MXIM,07/30/1993,1.2337, 448.7 ," 18,907,200 "
MXIM,08/31/1993,1.4804, 542.8 ," 29,188,800 "
MXIM,09/30/1993,1.6085, 589.8 ," 33,920,000 "
MXIM,10/29/1993,1.5468, 567.2 ," 35,142,400 "
MXIM,11/30/1993,1.6133, 600.2 ," 34,846,400 "
MXIM,12/31/1993,1.8173, 676.1 ," 30,987,200 "
MXIM,01/31/1994,1.8885, 702.6 ," 30,420,800 "
MXIM,02/28/1994,2.0023, 753.3 ," 26,724,800 "
MXIM,03/31/1994,1.9074, 717.6 ," 32,212,800 "
MXIM,04/29/1994,1.8552, 697.9 ," 47,160,000 "
MXIM,05/31/1994,1.9928, 759.2 ," 45,926,400 "
MXIM,06/30/1994,1.9739, 752.0 ," 53,771,200 "
MXIM,07/29/1994,1.8315, 697.7 ," 50,201,600 "
MXIM,08/31/1994,2.3060, 871.0 ," 69,876,800 "
MXIM,09/30/1994,2.3250, 878.1 ," 30,955,200 "
MXIM,10/31/1994,2.5622, 967.7 ," 48,028,800 "
MXIM,11/30/1994,2.3440, 904.6 ," 39,150,400 "
MXIM,12/30/1994,2.6571," 1,025.5 "," 26,156,000 "
MXIM,01/31/1995,2.2016, 849.7 ," 28,928,800 "
MXIM,02/28/1995,2.4958, 971.9 ," 25,603,200 "
MXIM,03/31/1995,2.7710," 1,079.1 "," 28,932,000 "
MXIM,04/28/1995,2.7520," 1,071.7 "," 31,516,000 "
MXIM,05/31/1995,3.4827," 1,369.9 "," 75,120,800 "
MXIM,06/30/1995,3.8718," 1,523.0 "," 45,765,600 "
MXIM,07/31/1995,4.4887," 1,765.6 "," 45,324,000 "
MXIM,08/31/1995,5.7888," 2,277.0 "," 89,825,600 "
MXIM,09/29/1995,5.6179," 2,178.3 "," 37,621,600 "
MXIM,10/31/1995,5.6749," 2,200.4 "," 47,259,200 "
MXIM,11/30/1995,5.6939," 2,245.9 "," 73,273,600 "
MXIM,12/29/1995,5.8457," 2,305.8 "," 65,054,400 "
MXIM,01/31/1996,5.3902," 2,141.9 "," 86,818,800 "
MXIM,02/29/1996,5.5041," 2,187.1 "," 53,797,600 "
MXIM,03/29/1996,4.7069," 1,870.4 "," 95,228,400 "
MXIM,04/30/1996,5.2004," 2,066.5 "," 87,783,600 "
MXIM,05/31/1996,5.1624," 2,087.2 "," 51,932,000 "
MXIM,06/28/1996,4.1470," 1,676.7 "," 51,290,800 "
MXIM,07/31/1996,4.3273," 1,749.6 "," 76,180,000 "
MXIM,08/30/1996,4.6595," 1,883.9 "," 51,779,600 "
MXIM,09/30/1996,5.3712," 2,173.7 "," 70,110,000 "
MXIM,10/31/1996,5.3143," 2,150.6 "," 73,344,800 "
MXIM,11/29/1996,7.0414," 2,853.1 "," 66,335,200 "
MXIM,12/31/1996,6.5669," 2,660.9 "," 57,957,200 "
MXIM,01/31/1997,8.5408," 3,460.7 "," 56,491,200 "
MXIM,02/28/1997,7.5349," 3,163.9 "," 83,505,600 "
MXIM,03/31/1997,7.3451," 3,084.2 "," 104,329,600 "
MXIM,04/30/1997,8.0283," 3,371.2 "," 85,138,800 "
MXIM,05/30/1997,8.1612," 3,467.6 "," 88,510,400 "
MXIM,06/30/1997,8.6357," 3,669.2 "," 43,125,200 "
MXIM,07/31/1997,10.4957," 4,459.5 "," 48,071,200 "
MXIM,08/29/1997,10.4957," 4,459.5 "," 42,862,400 "
MXIM,09/30/1997,10.8468," 4,552.6 "," 47,490,800 "
MXIM,10/31/1997,10.0591," 4,222.0 "," 101,541,200 "
MXIM,11/28/1997,10.4957," 4,493.5 "," 65,574,000 "
MXIM,12/31/1997,10.4767," 4,485.4 "," 108,566,400 "
MXIM,01/30/1998,10.5146," 4,501.7 "," 69,706,200 "
MXIM,02/27/1998,12.2608," 5,286.9 "," 53,564,400 "
MXIM,03/31/1998,11.0651," 4,771.3 "," 69,824,600 "
MXIM,04/30/1998,12.2608," 5,286.9 "," 63,847,400 "
MXIM,05/29/1998,10.1351," 4,377.3 "," 57,007,000 "
MXIM,06/30/1998,9.6226," 4,155.9 "," 81,994,000 "
MXIM,07/31/1998,9.7175," 4,196.9 "," 81,909,000 "
MXIM,08/31/1998,8.3510," 3,606.7 "," 65,545,800 "
MXIM,09/30/1998,8.4649," 3,644.7 "," 54,446,600 "
MXIM,10/30/1998,10.8373," 4,666.2 "," 82,612,800 "
MXIM,11/30/1998,11.9191," 5,132.3 "," 74,516,000 "
MXIM,12/31/1998,13.2667," 5,712.5 "," 58,674,400 "
MXIM,01/29/1999,15.6201," 6,725.9 "," 66,070,200 "
MXIM,02/26/1999,12.6593," 5,558.1 "," 57,771,600 "
MXIM,03/31/1999,16.4363," 7,216.4 "," 69,206,800 "
MXIM,04/30/1999,17.0056," 7,466.4 "," 75,776,400 "
MXIM,05/28/1999,16.2275," 7,208.7 "," 59,987,800 "
MXIM,06/30/1999,20.1942," 8,970.8 "," 54,430,200 "
MXIM,07/30/1999,19.4540," 8,642.0 "," 71,328,200 "
MXIM,08/31/1999,20.4409," 9,080.5 "," 53,962,000 "
MXIM,09/30/1999,19.1598," 8,570.3 "," 57,313,200 "
MXIM,10/29/1999,23.9711," 10,722.5 "," 76,575,400 "
MXIM,11/30/1999,24.3887," 10,977.0 "," 58,496,000 "
MXIM,12/31/1999,28.6591," 12,899.1 "," 59,703,600 "
MXIM,01/31/2000,30.4431," 13,702.1 "," 67,871,800 "
MXIM,02/29/2000,40.5782," 18,549.5 "," 56,455,700 "
MXIM,03/31/2000,43.1594," 19,729.4 "," 65,106,400 "
MXIM,04/28/2000,39.3635," 17,994.2 "," 58,492,500 "
MXIM,05/31/2000,38.5284," 17,930.7 "," 115,772,300 "
MXIM,06/30/2000,41.2615," 19,202.6 "," 75,153,200 "
MXIM,07/31/2000,40.1227," 18,672.6 "," 49,308,100 "
MXIM,08/31/2000,53.2565," 24,785.0 "," 57,470,000 "
MXIM,09/29/2000,48.8533," 22,999.8 "," 49,647,900 "
MXIM,10/31/2000,40.2745," 18,915.3 "," 107,314,200 "
MXIM,11/30/2000,30.9746," 14,494.8 "," 77,932,300 "
MXIM,12/29/2000,29.0386," 13,588.8 "," 77,141,200 "
MXIM,01/31/2001,37.0860," 17,354.6 "," 117,090,700 "
MXIM,02/28/2001,28.0138," 13,060.2 "," 100,855,500 "
MXIM,03/30/2001,25.2594," 11,776.1 "," 136,140,200 "
