date,level,degrees
12/31/2000,100,0
1/1/2001,100.0264524,1
1/2/2001,100.0528995,2
1/3/2001,100.079336,3
1/4/2001,100.1057565,4
1/5/2001,100.1321557,5
1/6/2001,100.1585285,6
1/7/2001,100.1848693,7
1/8/2001,100.2111731,8
1/9/2001,100.2374345,9
1/10/2001,100.2636482,10
1/11/2001,100.289809,11
1/12/2001,100.3159117,12
1/13/2001,100.3419511,13
1/14/2001,100.3679219,14
1/15/2001,100.393819,15
1/16/2001,100.4196374,16
1/17/2001,100.4453717,17
1/18/2001,100.471017,18
1/19/2001,100.4965682,19
1/20/2001,100.5220201,20
1/21/2001,100.5473679,21
1/22/2001,100.5726066,22
1/23/2001,100.5977311,23
1/24/2001,100.6227366,24
1/25/2001,100.6476183,25
1/26/2001,100.6723711,26
1/27/2001,100.6969905,27
1/28/2001,100.7214716,28
1/29/2001,100.7458096,29
1/30/2001,100.77,30
1/31/2001,100.7940381,31
2/1/2001,100.8179193,32
2/2/2001,100.841639,33
2/3/2001,100.8651929,34
2/4/2001,100.8885764,35
2/5/2001,100.9117853,36
2/6/2001,100.934815,37
2/7/2001,100.9576615,38
2/8/2001,100.9803204,39
2/9/2001,101.0027876,40
2/10/2001,101.025059,41
2/11/2001,101.0471306,42
2/12/2001,101.0689984,43
2/13/2001,101.0906584,44
2/14/2001,101.1121068,45
2/15/2001,101.1333398,46
2/16/2001,101.1543537,47
2/17/2001,101.1751448,48
2/18/2001,101.1957096,49
2/19/2001,101.2160444,50
2/20/2001,101.236146,51
2/21/2001,101.2560108,52
2/22/2001,101.2756355,53
2/23/2001,101.295017,54
2/24/2001,101.314152,55
2/25/2001,101.3330376,56
2/26/2001,101.3516706,57
2/27/2001,101.3700481,58
2/28/2001,101.3881673,59
3/1/2001,101.4060254,60
3/2/2001,101.4236197,61
3/3/2001,101.4409476,62
3/4/2001,101.4580065,63
3/5/2001,101.474794,64
3/6/2001,101.4913078,65
3/7/2001,101.5075455,66
3/8/2001,101.5235049,67
3/9/2001,101.5391839,68
3/10/2001,101.5545804,69
3/11/2001,101.5696926,70
3/12/2001,101.5845186,71
3/13/2001,101.5990565,72
3/14/2001,101.6133048,73
3/15/2001,101.6272617,74
3/16/2001,101.6409258,75
3/17/2001,101.6542957,76
3/18/2001,101.6673701,77
3/19/2001,101.6801476,78
3/20/2001,101.6926272,79
3/21/2001,101.7048078,80
3/22/2001,101.7166883,81
3/23/2001,101.7282681,82
3/24/2001,101.7395462,83
3/25/2001,101.7505219,84
3/26/2001,101.7611947,85
3/27/2001,101.7715641,86
3/28/2001,101.7816295,87
3/29/2001,101.7913908,88
3/30/2001,101.8008477,89
3/31/2001,101.81,90
4/1/2001,101.8188477,91
4/2/2001,101.8273908,92
4/3/2001,101.8356295,93
4/4/2001,101.8435641,94
4/5/2001,101.8511947,95
4/6/2001,101.8585219,96
4/7/2001,101.8655462,97
4/8/2001,101.8722681,98
4/9/2001,101.8786883,99
4/10/2001,101.8848078,100
4/11/2001,101.8906272,101
4/12/2001,101.8961476,102
4/13/2001,101.9013701,103
4/14/2001,101.9062957,104
4/15/2001,101.9109258,105
4/16/2001,101.9152617,106
4/17/2001,101.9193048,107
4/18/2001,101.9230565,108
4/19/2001,101.9265186,109
4/20/2001,101.9296926,110
4/21/2001,101.9325804,111
4/22/2001,101.9351839,112
4/23/2001,101.9375049,113
4/24/2001,101.9395455,114
4/25/2001,101.9413078,115
4/26/2001,101.942794,116
4/27/2001,101.9440065,117
4/28/2001,101.9449476,118
4/29/2001,101.9456197,119
4/30/2001,101.9460254,120
5/1/2001,101.9461673,121
5/2/2001,101.9460481,122
5/3/2001,101.9456706,123
5/4/2001,101.9450376,124
5/5/2001,101.944152,125
5/6/2001,101.943017,126
5/7/2001,101.9416355,127
5/8/2001,101.9400108,128
5/9/2001,101.938146,129
5/10/2001,101.9360444,130
5/11/2001,101.9337096,131
5/12/2001,101.9311448,132
5/13/2001,101.9283537,133
5/14/2001,101.9253398,134
5/15/2001,101.9221068,135
5/16/2001,101.9186584,136
5/17/2001,101.9149984,137
5/18/2001,101.9111306,138
5/19/2001,101.907059,139
5/20/2001,101.9027876,140
5/21/2001,101.8983204,141
5/22/2001,101.8936615,142
5/23/2001,101.888815,143
5/24/2001,101.8837853,144
