Security,Date,Close,Market Cap,Volume
IBM,12/31/1984,13.5997,75436.9,2740000
IBM,1/2/1985,13.3649,74134.9,3490000
IBM,1/3/1985,13.2545,73522.3,5552400
IBM,1/4/1985,13.2269,73369.1,4028000
IBM,1/7/1985,13.2959,73752,4671200
IBM,1/8/1985,13.2269,73369.1,4492400
IBM,1/9/1985,13.2959,73752,5242800
IBM,1/10/1985,13.6687,75819.8,6558800
IBM,1/11/1985,13.5582,75207.1,4458400
IBM,1/14/1985,13.7791,76432.5,7767600
IBM,1/15/1985,13.7653,76355.9,6505600
IBM,1/16/1985,13.6825,75896.4,5441600
IBM,1/17/1985,13.6549,75743.2,4278400
IBM,1/18/1985,13.7101,76049.6,4653200
IBM,1/21/1985,14.1657,78576.9,8555200
IBM,1/22/1985,14.3176,79419.4,10156000
IBM,1/23/1985,14.6352,81180.8,9080800
IBM,1/24/1985,14.7042,81563.8,7300800
IBM,1/25/1985,14.718,81640.3,4849200
IBM,1/28/1985,14.8699,82482.8,7746000
IBM,1/29/1985,15.1322,83937.9,4514800
IBM,1/30/1985,15.0908,83708.2,6254400
IBM,1/31/1985,15.0632,83555,5052400
IBM,2/1/1985,14.9803,83095.5,3321600
IBM,2/4/1985,15.2012,84320.8,5383600
IBM,2/5/1985,15.077,83631.6,5063600
IBM,2/6/1985,15.0742,82942.3,5187600
IBM,2/7/1985,15.2691,84014.5,4237200
IBM,2/8/1985,15.283,84091.1,3395600
IBM,2/11/1985,14.8654,81793.5,10054400
IBM,2/12/1985,14.6705,80721.3,8886800
IBM,2/13/1985,14.8932,81946.7,6310400
IBM,2/14/1985,14.6984,80874.5,5373200
IBM,2/15/1985,14.6288,80491.6,4261600
IBM,2/19/1985,14.6845,80797.9,2928400
IBM,2/20/1985,14.8932,81946.7,5823200
IBM,2/21/1985,14.8932,81946.7,3353600
IBM,2/22/1985,14.7958,81410.6,3678000
IBM,2/25/1985,14.9072,82023.3,3060800
IBM,2/26/1985,14.9768,82406.2,4599200
IBM,2/27/1985,14.8236,81563.8,3470400
IBM,2/28/1985,14.9211,82099.9,3529600
IBM,3/1/1985,15.1299,83248.6,5531200
IBM,3/4/1985,15.0324,82712.5,3560400
IBM,3/5/1985,15.0324,82712.5,4054000
IBM,3/6/1985,14.7958,81410.6,4126000
IBM,3/7/1985,14.4896,79725.7,6740000
IBM,3/8/1985,14.4339,79419.4,6892800
IBM,3/11/1985,14.6427,80568.1,4205600
IBM,3/12/1985,14.6845,80797.9,3518400
IBM,3/13/1985,14.4757,79649.1,4779200
IBM,3/14/1985,14.3504,78959.8,5087200
IBM,3/15/1985,14.3226,78806.7,4789600
IBM,3/18/1985,14.2947,78653.5,4826800
IBM,3/19/1985,14.5314,79955.5,4148800
IBM,3/20/1985,14.4061,79266.2,4475200
IBM,3/21/1985,14.3365,78883.3,6208800
IBM,3/22/1985,14.2251,78270.6,4791200
IBM,3/25/1985,13.8632,76279.3,8231600
IBM,3/26/1985,13.9607,76815.4,5617600
IBM,3/27/1985,14.072,77428.1,4393600
IBM,3/28/1985,14.0999,77581.3,3973600
IBM,3/29/1985,14.1416,77811.1,2780000
IBM,4/1/1985,14.2669,78500.3,3363200
IBM,4/2/1985,14.2251,78270.6,3796000
IBM,4/3/1985,14.0859,77504.7,3316000
IBM,4/4/1985,14.1416,77811.1,2147200
IBM,4/8/1985,13.7936,75896.4,4876000
IBM,4/9/1985,13.8772,76355.9,3878800
IBM,4/10/1985,14.0164,77121.8,4065200
IBM,4/11/1985,14.1416,77811.1,4941600
IBM,4/12/1985,14.253,78423.7,3810400
IBM,4/15/1985,14.3922,79189.6,4135200
IBM,4/16/1985,14.4478,79495.9,4660800
IBM,4/17/1985,14.4339,79419.4,3606800
